,player_name,mins_played,Assists count,Assists count per Number of Minutes Played,percent_mark_90
0,Aaron Meijers,3294.0,11.0,0.003339404978749241,1
1,Abdenasser El Khayati,3057.1833333333334,44.0,0.01439233281179299,1
2,Alireza Jahanbakhsh,2925.7833333333333,112.0,0.038280346573852014,1
3,Bryan Linssen,3181.2999999999997,91.0,0.02860465847295131,1
4,Clint Leemans,3066.483333333333,29.0,0.009457087108468442,1
5,Daniel Høegh,3397.0,24.0,0.007065057403591404,1
6,Danny Bakker,3354.2500000000005,21.0,0.006260714019527464,1
7,Darryl Lachman,2941.633333333333,2.0,0.0006798943897381274,1
8,Denzel Dumfries,3262.95,19.0,0.005822951623530854,1
9,Donny van de Beek,2940.0999999999995,62.0,0.02108771810482637,1
10,Francisco Sol Ortiz,2982.8833333333337,71.0,0.023802472998720476,1
11,Guram Kashia,3206.316666666667,26.0,0.008108993185326879,1
12,Guus Til,2922.7,55.0,0.01881821603312006,1
13,Hakim Ziyech,3161.966666666667,104.0,0.03289092231627995,1
14,Hicham Faik,2948.4166666666665,49.0,0.01661908934173709,1
15,Jonas Svensson,2916.616666666667,12.0,0.004114356246107076,1
16,Jorrit Hendrix,2914.4999999999995,24.0,0.008234688625836336,1
17,Jose Angel Esmoris Tasende,3196.0,17.0,0.005319148936170213,1
18,Joshua Brenet,2939.45,20.0,0.0068039939444453894,1
19,Jurgen Mattheij,3014.0,18.0,0.005972130059721301,1
20,Kingsley Ehizibue,3061.616666666667,14.0,0.0045727475135685395,1
21,Konstantinos Tsimikas,2924.5833333333335,9.0,0.0030773614474996435,1
22,Lennart Thy,2967.4666666666667,51.0,0.017186376707404746,1
23,Lex Immers,3244.0,32.0,0.009864364981504316,1
24,Manuel Garcia Alonso,3148.2833333333333,16.0,0.005082134708333113,1
25,Mark van der Maarel,2922.95,18.0,0.006158162130724097,1
26,Matt Miazga,3134.25,31.0,0.009890723458562654,1
27,Matthijs de Ligt,3029.75,29.0,0.009571746843798993,1
28,Mike te Wierik,3063.7166666666667,14.0,0.0045696131604859025,1
29,Nicolas Isimat-Mirin,2994.0333333333333,4.0,0.0013359904699346478,1
30,Nils Röseler,3187.4,14.0,0.004392294660224634,1
31,Peet Bijen,3011.0,7.0,0.002324809033543673,1
32,Sean Klaiber,3269.4500000000003,22.0,0.006728960528529263,1
33,Simon Gustafson,2960.2333333333336,34.0,0.011485581091580618,1
34,Tonny Vilhena,2944.0833333333335,42.0,0.01426590053497127,1
35,Willem Janssen,3333.8333333333335,39.0,0.011698245263210517,1
36,Yassin Ayoub,2970.0166666666673,33.0,0.0111110487595468,1
